epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59619,0.63848,2.85725,0.98059,0.01426,1,0.54041,0.43796,0.52214,2.99383,0.86833,0.00018337,0.00018337,0.00018337
2,4.77935,0.63826,1.40235,0.95573,0.01316,1,0.38073,0.32958,0.60451,2.83076,0.89947,0.000379614,0.000379614,0.000379614
3,6.01045,0.61793,0.93271,0.9472,0.01276,1,0.81629,0.7131,0.58662,2.65316,0.89811,0.000571898,0.000571898,0.000571898
4,7.2855,0.61083,0.87414,0.94515,1,0.13831,0.6877,0.58005,0.63481,2.52126,0.92827,0.00076022,0.00076022,0.00076022
5,8.68535,0.55885,0.7855,0.90478,0.97733,0.2984,0.91442,0.80841,0.51977,2.08378,0.87125,0.000944582,0.000944582,0.000944582
6,9.91537,0.58086,0.74485,0.91059,1,0.42487,0.97512,0.84567,0.57312,1.82393,0.89652,0.00112498,0.00112498,0.00112498
7,11.1478,0.58651,0.79612,0.92488,0.98455,0.88196,0.98692,0.82166,0.657,1.49134,0.92966,0.00130142,0.00130142,0.00130142
8,12.3462,0.60477,0.73588,0.92636,0.93337,0.95156,0.97502,0.84002,0.5787,1.10644,0.90059,0.0014739,0.0014739,0.0014739
9,13.637,0.5686,0.72435,0.91839,0.97909,0.95156,0.99266,0.85282,0.60808,0.7389,0.91174,0.00153497,0.00153497,0.00153497
10,14.945,0.58237,0.67605,0.90915,0.96836,0.9532,0.98131,0.84777,0.55957,0.73582,0.90277,0.00151847,0.00151847,0.00151847
11,16.1771,0.56908,0.68341,0.90942,0.97223,0.96901,0.98968,0.85639,0.54692,0.6611,0.90633,0.00150197,0.00150197,0.00150197
12,17.3005,0.56745,0.63936,0.90169,0.98296,0.99787,0.99351,0.88554,0.50434,0.52292,0.86447,0.00148546,0.00148546,0.00148546
13,18.5705,0.54486,0.63575,0.90398,0.9931,1,0.99437,0.88376,0.50979,0.52227,0.87067,0.00146896,0.00146896,0.00146896
14,19.8354,0.54473,0.6322,0.91303,0.98971,0.99882,0.99497,0.89248,0.48503,0.49588,0.86645,0.00145246,0.00145246,0.00145246
15,21.0726,0.54581,0.65167,0.91611,0.97957,0.99528,0.99455,0.893,0.49747,0.51456,0.86515,0.00143595,0.00143595,0.00143595
16,22.2539,0.51819,0.57431,0.89634,0.98882,1,0.99483,0.90059,0.4562,0.48975,0.85033,0.00141945,0.00141945,0.00141945
17,23.5764,0.54246,0.57769,0.89537,0.99312,0.99938,0.99465,0.89484,0.48716,0.46429,0.86742,0.00140295,0.00140295,0.00140295
18,24.9025,0.51917,0.58527,0.89798,0.99267,1,0.9949,0.89702,0.47553,0.43118,0.8712,0.00138644,0.00138644,0.00138644
19,26.1149,0.54253,0.58133,0.90441,0.99608,0.99308,0.995,0.89249,0.47632,0.45833,0.85851,0.00136994,0.00136994,0.00136994
20,27.3614,0.53385,0.5658,0.89981,0.99798,0.99654,0.995,0.89164,0.47661,0.4542,0.85847,0.00135344,0.00135344,0.00135344
21,28.6988,0.51399,0.52661,0.87475,0.99331,0.98962,0.99493,0.90635,0.44535,0.41248,0.85431,0.00133693,0.00133693,0.00133693
22,30.0338,0.52321,0.52886,0.88859,0.98947,1,0.99441,0.89704,0.46686,0.39949,0.85931,0.00132043,0.00132043,0.00132043
23,31.2605,0.5008,0.53568,0.88281,0.98908,1,0.99483,0.91214,0.42626,0.37572,0.84428,0.00130393,0.00130393,0.00130393
24,33.4084,0.51075,0.50667,0.8798,0.9922,1,0.99396,0.89415,0.47201,0.38252,0.84928,0.00128742,0.00128742,0.00128742
25,35.0292,0.51772,0.49636,0.88111,0.99549,0.99308,0.99472,0.90243,0.44606,0.3735,0.84952,0.00127092,0.00127092,0.00127092
26,36.7577,0.48818,0.47193,0.88153,0.98297,0.99861,0.99483,0.9049,0.44176,0.36879,0.84389,0.00125442,0.00125442,0.00125442
27,38.4013,0.46105,0.46606,0.8744,0.99312,0.99883,0.99472,0.90545,0.45583,0.35876,0.84786,0.00123791,0.00123791,0.00123791
28,40.0457,0.47513,0.47884,0.88469,0.99263,1,0.99486,0.90695,0.43678,0.35695,0.84124,0.00122141,0.00122141,0.00122141
29,41.8018,0.47836,0.47149,0.87421,0.99655,0.9994,0.99497,0.91246,0.41456,0.35057,0.83891,0.00120491,0.00120491,0.00120491
30,43.4886,0.46048,0.44277,0.87557,1,0.99877,0.995,0.91287,0.41064,0.34517,0.83669,0.0011884,0.0011884,0.0011884
31,45.2335,0.4948,0.4689,0.89667,0.9926,0.99654,0.99497,0.91164,0.41857,0.33394,0.83879,0.0011719,0.0011719,0.0011719
32,46.8056,0.4703,0.46048,0.87893,0.98745,1,0.99444,0.9191,0.41453,0.34816,0.83778,0.0011554,0.0011554,0.0011554
